fecha_hecho,fecha_dt,anio,mes,hora,dia_semana,turno_dia,comuna,barrio,codigo_comuna,modalidad,tipo_conducta,arma,transporte_victima,bien_hurtado,categoria_bien,grupo_bien,lugar,sexo,edad,estado_civil,lat,lon,zona_riesgo
1/01/2017 1:00,2017-01-01 01:00:00,2017,1,1,Sunday,Madrugada,Doce de Octubre,Doce de Octubre No.2,6.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,33,Unión marital de hecho,6.29970294,-75.58201578,BAJO
1/01/2017 15:00,2017-01-01 15:00:00,2017,1,15,Sunday,Tarde,La Candelaria,La Candelaria,10.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,26,Soltero(a),6.25091714,-75.56615963,ALTO
1/01/2017 14:00,2017-01-01 14:00:00,2017,1,14,Sunday,Tarde,Aranjuez,Campo Valdés No.1,4.0,Descuido,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,30,Soltero(a),6.27483624,-75.55490943,MEDIO
1/01/2017 16:00,2017-01-01 16:00:00,2017,1,16,Sunday,Tarde,Aranjuez,Campo Valdés No.1,4.0,Atraco,De celular,Arma de fuego,Taxi,Celular,Tecnología,Mercancía,Vía pública,Hombre,37,Casado(a),6.27623616,-75.55353312,MEDIO
1/01/2017 16:00,2017-01-01 16:00:00,2017,1,16,Sunday,Tarde,Laureles-Estadio,Naranjal,11.0,Engaño,No especificado,No,Caminata,Billetera,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,87,Casado(a),6.25033921,-75.58691404,ALTO
1/01/2017 16:00,2017-01-01 16:00:00,2017,1,16,Sunday,Tarde,Belén,La Loma de los Bernal,16.0,Descuido,No,No,Taxi,Elementos escolares,Elementos escolares,Mercancía,Vía pública,Mujer,29,Unión marital de hecho,6.21907115,-75.60299601,ALTO
1/01/2017 20:30,2017-01-01 20:30:00,2017,1,20,Sunday,Noche,Palmitas,Volcana Guayabal,50.0,Atraco,No especificado,Arma de fuego,Motocicleta,Cámara,Tecnología,Mercancía,Vía pública,Hombre,27,Soltero(a),,,BAJO
1/01/2017 16:00,2017-01-01 16:00:00,2017,1,16,Sunday,Tarde,Aranjuez,Manrique Central No.1,4.0,Descuido,No especificado,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Hospital o centro de salud,Hombre,36,Soltero(a),6.26830676,-75.55845689,MEDIO
1/01/2017 0:30,2017-01-01 00:30:00,2017,1,0,Sunday,Madrugada,Buenos Aires,Barrio Caycedo,9.0,Atraco,De celular,Arma cortopunzante,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,41,Casado(a),6.24279675,-75.55479672,MEDIO
1/01/2017 8:00,2017-01-01 08:00:00,2017,1,8,Sunday,Mañana,La Candelaria,Boston,10.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,59,Soltero(a),6.24682256,-75.56211378,ALTO
1/01/2017 10:00,2017-01-01 10:00:00,2017,1,10,Sunday,Mañana,La Candelaria,La Candelaria,10.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,39,Unión marital de hecho,6.24968051,-75.56807902,ALTO
1/01/2017 0:30,2017-01-01 00:30:00,2017,1,0,Sunday,Madrugada,Buenos Aires,Barrio Caycedo,9.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,41,Casado(a),6.24279675,-75.55479672,MEDIO
1/01/2017 13:00,2017-01-01 13:00:00,2017,1,13,Sunday,Tarde,Buenos Aires,Los Cerros el Vergel,9.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,38,Soltero(a),6.23605066,-75.54735627,MEDIO
