fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
1/01/2017 1:00;10;629970294;-7558201578;Mujer;33;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Doce de Octubre No.2;#0603;6;Vía pública;Doce de Octubre;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 15:00;10;625091714;-7556615963;Mujer;26;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 14:00;10;627483624;-7555490943;Hombre;30;Soltero(a);Caminata;Hurto a persona;Descuido;De celular;No;Campo Valdés No.1;#0410;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 16:00;10;627623616;-7555353312;Hombre;37;Casado(a);Taxi;Hurto a persona;Atraco;De celular;Arma de fuego;Campo Valdés No.1;#0410;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 16:00;10;625033921;-7558691404;Hombre;87;Casado(a);Caminata;Hurto a persona;Engaño;Sin dato;No;Naranjal;#1103;11;Vía pública;Laureles;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 16:00;10;621907115;-7560299601;Mujer;29;Unión marital de hecho;Taxi;Hurto a persona;Descuido;No;No;La Loma de los Bernal;#1611;16;Vía pública;Belén;Elementos escolares;Elementos escolares;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 20:30;10;631770887;-756782588;Hombre;27;Soltero(a);Motocicleta;Hurto a persona;Atraco;Sin dato;Arma de fuego;Volcana Guayabal;#5005;50;Vía pública;Doce de Octubre;Cámara;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 16:00;10;626830676;-7555845689;Hombre;36;Soltero(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Manrique Central No.1;#0409;4;Hospital o centro de salud;Aranjuez;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 0:30;10;624279675;-7555479672;Hombre;41;Casado(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Barrio Caycedo;#0906;9;Vía pública;Buenos Aires;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 8:00;10;624682256;-7556211378;Hombre;59;Soltero(a);Caminata;Hurto a persona;Descuido;No;No;Boston;#1016;10;Vía pública;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 10:00;10;624968051;-7556807902;Hombre;39;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 0:30;10;624279675;-7555479672;Hombre;41;Casado(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Barrio Caycedo;#0906;9;Vía pública;Buenos Aires;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 13:00;10;623605066;-7554735627;Hombre;38;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Los Cerros el Vergel;#0904;9;Vía pública;Buenos Aires;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 10:00;10;624978353;-7556850721;Hombre;43;Unión marital de hecho;Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 8:00;10;624682256;-7556211378;Hombre;59;Soltero(a);Caminata;Hurto a persona;Descuido;No;No;Boston;#1016;10;Vía pública;Candelaria;Cigarrillo;Artículos de fumador;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 2:00;10;625073584;-7556404605;Mujer;22;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 7:15;10;627979636;-7556503739;Mujer;30;Unión marital de hecho;Caminata;Hurto a persona;Atraco;Sin dato;No;Bermejal-Los Alamos;#0404;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 1:30;10;62849781;-7558721926;Hombre;20;Soltero(a);Motocicleta;Hurto a persona;Atraco;De celular;Arma cortopunzante;El Diamante;#0711;7;Vía pública;Castilla;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 16:35;10;626677131;-7556506422;Mujer;27;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;No;Sevilla;#0407;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 16:00;10;621907115;-7560299601;Mujer;29;Unión marital de hecho;Taxi;Hurto a persona;Descuido;No;No;La Loma de los Bernal;#1611;16;Vía pública;Belén;Computador;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 10:00;10;624968051;-7556807902;Hombre;39;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 13:00;10;6273576;-7555377752;Hombre;64;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Objeto contundente;Campo Valdés No.2;#0303;3;Vía pública;Manrique;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 8:00;10;62640038;-7556177583;Hombre;35;Unión marital de hecho;Motocicleta;Hurto a persona;Atraco;De celular;Arma de fuego;San Pedro;#0408;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
1/01/2017 14:50;10;625557319;-7561963477;Hombre;18;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;San Javier No.1;#1309;13;Vía pública;San Javier;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
1/01/2017 18:30;10;626042576;-7556208696;Hombre;28;Unión marital de hecho;Caminata;Hurto a persona;Descuido;No;No;Prado;#1001;10;Fábrica o empresa;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
